order,job_id,company,job_title,city,recruitment_type,role_category,pilot_reference,requirement_id,source_text,normalized_requirement,source_section,requirement_type,importance,eligibility_category,knowledge_topics,knowledge_text,score_included,ai_match_label,ai_eligibility_status,ai_evidence_ids,ai_grounding_reason,human_taxonomy_decision,human_match_label,human_eligibility_status,human_evidence_ids,human_grounding_reason,human_edit,human_accept_reject,human_notes,review_status,job_human_match_fit
18,tencent:2013806539382611968,腾讯,大数据产品经理（深圳/北京）,深圳,experienced,data_product,false,reqv2_d9a6fa37fdf720f1,具备复杂业务场景抽象能力，能够将数据工作流程拆解为可理解、可执行、可评估的产品方案；,将数据工作流抽象为可执行可评估的产品方案,requirements,matchable,Important,,,,true,Strong,,resume_extracted:18|resume_extracted:28|resume_extracted:resume:1:technical_experience:8,数据架构与结构化产品流程支持复杂数据工作流的抽象与拆解。,matchable,Strong,,resume_extracted:18|resume_extracted:28|resume_extracted:resume:1:technical_experience:8,数据架构与结构化产品流程支持复杂数据工作流的抽象与拆解。,,accept,,accepted,4
18,tencent:2013806539382611968,腾讯,大数据产品经理（深圳/北京）,深圳,experienced,data_product,false,reqv2_5ec2efa78f7f63d9,具备良好的技术沟通能力，能与算法、后端、前端、数据平台研发高效协作；,技术沟通与跨研发协作能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:5,跨前后端、AI 团队协作与 LLM 后端集成记录支持技术沟通与协作。,matchable,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:5,跨前后端、AI 团队协作与 LLM 后端集成记录支持技术沟通与协作。,,accept,,accepted,4
19,tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,experienced,data_product,true,reqv2_a6ad3fd74c22598d,了解数仓架构，熟悉数据开发和治理流程，熟练应用SQL语言；,理解数仓架构、熟悉数据开发与治理流程,requirements,matchable,Important,,,,true,Partial,,resume_extracted:18|resume_extracted:resume:1:technical_experience:8,有数据架构与自动化 ETL 实践，但没有数据仓库及数据治理全流程的明确证据。,accepted AI taxonomy,Partial,,resume_extracted:18|resume_extracted:resume:1:technical_experience:8,有数据架构与自动化 ETL 实践，但没有数据仓库及数据治理全流程的明确证据。,,accept,,accepted,4
19,tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,experienced,data_product,true,reqv2_b6da57f753507117,熟练应用SQL语言；,熟练使用 SQL,requirements,matchable,Important,,,,true,Strong,,resume_extracted:18|resume_extracted:resume:1:skills:4,技能目录与 SQL 触发器、归因逻辑项目提供直接实践支持（edge case A：熟练使用 SQL → matchable）。,accepted AI taxonomy,Strong,,resume_extracted:18|resume_extracted:resume:1:skills:4,技能目录与 SQL 触发器、归因逻辑项目提供直接实践支持（edge case A：熟练使用 SQL → matchable）。,,accept,,accepted,4
19,tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,experienced,data_product,true,reqv2_b6cf969fde1203cf,有数据产品策划运营经验，,数据产品策划或运营经验,requirements,matchable,Important,,,,true,Partial,,resume_extracted:16|resume_extracted:18|resume_extracted:28,兼有数据体系、运营与产品策划经历，但未以数据产品经理身份负责完整产品。,accepted AI taxonomy,Partial,,resume_extracted:16|resume_extracted:18|resume_extracted:28,兼有数据体系、运营与产品策划经历，但未以数据产品经理身份负责完整产品。,,accept,,accepted,4
19,tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,experienced,data_product,true,reqv2_8e372cde74f05aee,具备良好的逻辑思维和数据分析能力、,逻辑思维与数据分析能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:19|resume_extracted:20|resume_extracted:30,KPI、业务分析与百万级数据项目提供多项直接证据。,accepted AI taxonomy,Strong,,resume_extracted:19|resume_extracted:20|resume_extracted:30,KPI、业务分析与百万级数据项目提供多项直接证据。,,accept,,accepted,4
19,tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,experienced,data_product,true,reqv2_ffe28d59054b4e26,优秀的沟通与项目管理能力，,沟通与项目管理能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:5,Product Owner 项目包含客户汇报、优先级管理与跨团队交付。,accepted AI taxonomy,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:5,Product Owner 项目包含客户汇报、优先级管理与跨团队交付。,,accept,,accepted,4
19,tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,experienced,data_product,true,reqv2_468aa07a31e8d40c,熟悉大模型（LLM）和AI应用，具备Prompt工程、RAG、Agent等实践经验，,LLM、Prompt、RAG 与 Agent 实践经验,requirements,matchable,Important,,,,true,Partial,,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,LLM、RAG 与对话式 Agent 证据明确，但没有单独、可验证的 Prompt 工程事实。JD 未要求原理/能力边界，故不拆分 knowledge（decision F）。,accepted AI taxonomy,Partial,,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,LLM、RAG 与对话式 Agent 证据明确，但没有单独、可验证的 Prompt 工程事实。JD 未要求原理/能力边界，故不拆分 knowledge（decision F）。,,accept,,accepted,4
19,tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,experienced,data_product,true,reqv2_892a54d1bde059a0,能结合业务场景评估AI方案的价值和可行性；,评估 AI 方案的业务价值与可行性,requirements,matchable,Important,,,,true,Strong,,resume_extracted:21|resume_extracted:28,两段经历均记录从用户/业务场景出发探索并落地大模型方案。,accepted AI taxonomy,Strong,,resume_extracted:21|resume_extracted:28,两段经历均记录从用户/业务场景出发探索并落地大模型方案。,,accept,,accepted,4
19,tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,experienced,data_product,true,reqv2_dc5ab6550342d109,有金融行业相关从业经验加分，如反洗钱、支付、风控、金融合规等；,金融行业相关从业经验,preferred,matchable,Preferred,,,,true,Strong,,resume_extracted:16|resume_extracted:24|resume_extracted:26|resume_extracted:resume:1:domain_experience:0,支付、银行、金融产品与合规经历直接覆盖多个列举场景（edge case G：金融行业经验优先 → matchable + Preferred）。,accepted AI taxonomy,Strong,,resume_extracted:16|resume_extracted:24|resume_extracted:26|resume_extracted:resume:1:domain_experience:0,支付、银行、金融产品与合规经历直接覆盖多个列举场景（edge case G：金融行业经验优先 → matchable + Preferred）。,,accept,,accepted,4
19,tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,experienced,data_product,true,reqv2_c69557b2d2e39287,岗位需具备一定技术背景，,具备技术背景,requirements,matchable,Important,,,,true,Strong,,resume_extracted:resume:1:education:1|resume_extracted:18|resume_extracted:30,软件工程本科与 SQL、Python、数据建模项目直接支持技术背景。,accepted AI taxonomy,Strong,,resume_extracted:resume:1:education:1|resume_extracted:18|resume_extracted:30,软件工程本科与 SQL、Python、数据建模项目直接支持技术背景。,,accept,,accepted,4
20,baidu:105aafd8-a50f-4ef6-aad3-d0a729f5e4a8,百度,产品经理实习生（J104146）,北京,internship,general_product,true,reqv2_22af6534bda203ba,本科及以上学历,本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证的软件工程本科与在读硕士教育记录直接满足本科及以上学历。,accepted AI taxonomy,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证的软件工程本科与在读硕士教育记录直接满足本科及以上学历。,,accept,,accepted,4
20,baidu:105aafd8-a50f-4ef6-aad3-d0a729f5e4a8,百度,产品经理实习生（J104146）,北京,internship,general_product,true,reqv2_2343bb0459a84cdc,实习时间不少于五个月,可连续实习至少五个月,requirements,eligibility,Critical,other,,,false,,Unknown,,历史上完成过五个月实习，但没有已确认的未来可实习时长/可用性事实；缺少证据不等于不满足。,accepted AI taxonomy,,Unknown,,历史上完成过五个月实习，但没有已确认的未来可实习时长/可用性事实；缺少证据不等于不满足。,,accept,,accepted,4
20,baidu:105aafd8-a50f-4ef6-aad3-d0a729f5e4a8,百度,产品经理实习生（J104146）,北京,internship,general_product,true,reqv2_4221bc9552f276d2,热爱互联网，有互联网实习经历优先,互联网相关实习经历,preferred,matchable,Preferred,,,,true,Strong,,resume_extracted:16|resume_extracted:21,已验证的增长运营与 AI 大模型实习均属于相关互联网业务经历。,accepted AI taxonomy,Strong,,resume_extracted:16|resume_extracted:21,已验证的增长运营与 AI 大模型实习均属于相关互联网业务经历。,,accept,,accepted,4
21,baidu:1270fb70-730e-4569-9385-b013690e607d,百度,北京-用户产品经理(J100806),北京,campus,general_product,false,reqv2_787cdeab7bf2c455,本科及以上学历，计算机、信息管理等相关专业优先,本科及以上学历（在读）,education,eligibility,Critical,degree,,,false,,Supported,manual_confirmed:profile:candidate_type|resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,校招身份已确认，已验证本科与在读硕士学历满足门槛。,eligibility,,Supported,manual_confirmed:profile:candidate_type|resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,校招身份已确认，已验证本科与在读硕士学历满足门槛。,,accept,,accepted,5
21,baidu:1270fb70-730e-4569-9385-b013690e607d,百度,北京-用户产品经理(J100806),北京,campus,general_product,false,reqv2_3961432f6ab7ec4d,本科及以上学历，计算机、信息管理等相关专业优先,计算机或信息管理相关专业,preferred,matchable,Preferred,,,,true,Strong,,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士覆盖相关专业偏好。,matchable,Strong,,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士覆盖相关专业偏好。,,accept,,accepted,5
21,baidu:1270fb70-730e-4569-9385-b013690e607d,百度,北京-用户产品经理(J100806),北京,campus,general_product,false,reqv2_780704b34f49eddb,有较强的用户同理心，善于从数据中发现用户需求,用户同理心与数据洞察用户需求,requirements,matchable,Important,,,,true,Strong,,resume_extracted:19|resume_extracted:20|resume_extracted:27,数据分析、业务洞察与客户反馈分析支持从数据中发现用户需求。,matchable,Strong,,resume_extracted:19|resume_extracted:20|resume_extracted:27,数据分析、业务洞察与客户反馈分析支持从数据中发现用户需求。,,accept,,accepted,5
22,tencent:1994013057063473152,腾讯,企业微信-基础产品经理,广州,experienced,general_product,true,reqv2_d65a91721a2406a6,三年以上工作经验,三年以上工作经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证经历为实习与项目，明显不足三年工作经验。来源为冻结数据集的结构化 experience_requirement 字段。,accepted AI taxonomy,,PotentialGap,,候选人为 2027 届应届，已验证经历为实习与项目，明显不足三年工作经验。来源为冻结数据集的结构化 experience_requirement 字段。,,accept,,accepted,4
22,tencent:1994013057063473152,腾讯,企业微信-基础产品经理,广州,experienced,general_product,true,reqv2_2c48e151d8271b86,对产品设计有饱满热情，在功能策划上有一定经验和能力；,产品设计与功能策划经验,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:9,GoFin 中的流程、功能与迭代交付是直接的产品策划证据。,accepted AI taxonomy,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:9,GoFin 中的流程、功能与迭代交付是直接的产品策划证据。,,accept,,accepted,4
22,tencent:1994013057063473152,腾讯,企业微信-基础产品经理,广州,experienced,general_product,true,reqv2_593ead863ea05b72,善于观察和分析，善于发现关键问题，分清主次矛盾，,观察分析并识别关键问题,requirements,matchable,Important,,,,true,Strong,,resume_extracted:19|resume_extracted:20|resume_extracted:27,业务分析、转化路径优化与客户反馈分析直接支持问题识别。,accepted AI taxonomy,Strong,,resume_extracted:19|resume_extracted:20|resume_extracted:27,业务分析、转化路径优化与客户反馈分析直接支持问题识别。,,accept,,accepted,4
22,tencent:1994013057063473152,腾讯,企业微信-基础产品经理,广州,experienced,general_product,true,reqv2_595484b60afecce0,具备很好的逻辑抽象能力，和框架系统思考的能力；,逻辑抽象与系统思考能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:18|resume_extracted:28|resume_extracted:resume:1:technical_experience:8,数据架构与结构化产品流程设计提供具体的系统化证据。,accepted AI taxonomy,Strong,,resume_extracted:18|resume_extracted:28|resume_extracted:resume:1:technical_experience:8,数据架构与结构化产品流程设计提供具体的系统化证据。,,accept,,accepted,4
23,tencent:2078278970276753408,腾讯,腾讯云-经营系统产品经理,深圳,experienced,general_product,false,reqv2_c060782ad9d0d673,1.本科及以上学历，3年及以上ToB互联网产品策划经验，熟悉企业经营管理流程，参与建立或优化企业合同管理流程及合同管理系统设计的优先；,本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与在读硕士学历满足门槛。,eligibility,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与在读硕士学历满足门槛。,,accept,,accepted,2
23,tencent:2078278970276753408,腾讯,腾讯云-经营系统产品经理,深圳,experienced,general_product,false,reqv2_8b110c336ed920be,1.本科及以上学历，3年及以上ToB互联网产品策划经验，熟悉企业经营管理流程，参与建立或优化企业合同管理流程及合同管理系统设计的优先；,三年以上 ToB 互联网产品策划经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证产品经历明显不足三年，且未见 ToB 产品策划专项经历。,eligibility,,PotentialGap,,候选人为 2027 届应届，已验证产品经历明显不足三年，且未见 ToB 产品策划专项经历。,,accept,,accepted,2
23,tencent:2078278970276753408,腾讯,腾讯云-经营系统产品经理,深圳,experienced,general_product,false,reqv2_f982055a8756f25d,1.本科及以上学历，3年及以上ToB互联网产品策划经验，熟悉企业经营管理流程，参与建立或优化企业合同管理流程及合同管理系统设计的优先；,熟悉企业经营管理流程,requirements,matchable,Important,,,,true,Missing,,,证据目录没有企业经营管理流程相关经历。,matchable,Missing,,,证据目录没有企业经营管理流程相关经历。,,accept,,accepted,2
23,tencent:2078278970276753408,腾讯,腾讯云-经营系统产品经理,深圳,experienced,general_product,false,reqv2_797f42487cad1cf5,1.本科及以上学历，3年及以上ToB互联网产品策划经验，熟悉企业经营管理流程，参与建立或优化企业合同管理流程及合同管理系统设计的优先；,企业合同管理流程 / 系统设计经验,preferred,matchable,Preferred,,,,true,Missing,,,证据目录没有合同管理流程或系统设计的经历。,matchable,Missing,,,证据目录没有合同管理流程或系统设计的经历。,,accept,,accepted,2
23,tencent:2078278970276753408,腾讯,腾讯云-经营系统产品经理,深圳,experienced,general_product,false,reqv2_bee05a7871209904,2.有良好的沟通协调能力，能胜任跨团队沟通；,沟通协调与跨团队沟通能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:5,跨职能协调与迭代交付记录支持跨团队沟通协调能力。,matchable,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:5,跨职能协调与迭代交付记录支持跨团队沟通协调能力。,,accept,,accepted,2
24,tencent:2041409199149314048,腾讯,腾讯会议-评测产品经理,深圳,experienced,general_product,false,reqv2_59ca9e7eb29a5121,1.本科及以上学历，计算机、人工智能、语言学、数据分析、人机交互或相关专业优先；,本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与在读硕士学历满足门槛。,eligibility,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与在读硕士学历满足门槛。,,accept,,accepted,4
24,tencent:2041409199149314048,腾讯,腾讯会议-评测产品经理,深圳,experienced,general_product,false,reqv2_ccecb033f69f85ba,两年以上工作经验,两年以上工作经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证经历为实习与项目，不足两年。来源为冻结数据集结构化 experience_requirement 字段。,eligibility,,PotentialGap,,候选人为 2027 届应届，已验证经历为实习与项目，不足两年。来源为冻结数据集结构化 experience_requirement 字段。,,accept,,accepted,4
24,tencent:2041409199149314048,腾讯,腾讯会议-评测产品经理,深圳,experienced,general_product,false,reqv2_6907a4e2deac1add,1.本科及以上学历，计算机、人工智能、语言学、数据分析、人机交互或相关专业优先；,计算机 / AI / 语言学 / 数据分析 / 人机交互相关专业,preferred,matchable,Preferred,,,,true,Strong,,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士覆盖多个相关专业方向。,matchable,Strong,,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士覆盖多个相关专业方向。,,accept,,accepted,4
24,tencent:2041409199149314048,腾讯,腾讯会议-评测产品经理,深圳,experienced,general_product,false,reqv2_2a8d6b3110257858,2.具备AI 产品经理、策略产品经理或评测产品相关经验，有ASR、大模型、智能对话、AI搜索、语音助手等方向经验者优先；,AI / 策略 / 评测产品相关经验,requirements,matchable,Important,,,,true,Partial,,resume_extracted:28|resume_extracted:21,有 AI 产品交付与大模型实习经历，但没有策略产品或评测产品的专项角色证据。,matchable,Partial,,resume_extracted:28|resume_extracted:21,有 AI 产品交付与大模型实习经历，但没有策略产品或评测产品的专项角色证据。,,accept,§11：候选人有直接相关的 AI 产品项目经验，但没有 AI PM / 策略 PM / 评测 PM 的正式工作经历；项目证据计入，但角色深度弱于正式职业经验，保持 Partial（不升 Strong）。,accepted,4
24,tencent:2041409199149314048,腾讯,腾讯会议-评测产品经理,深圳,experienced,general_product,false,reqv2_23a50d8ef3c57335,2.具备AI 产品经理、策略产品经理或评测产品相关经验，有ASR、大模型、智能对话、AI搜索、语音助手等方向经验者优先；,ASR / 大模型 / 智能对话 / AI 搜索 / 语音助手方向经验,preferred,matchable,Preferred,,,,true,Partial,,resume_extracted:28|resume_extracted:resume:1:ai_experience:0,大模型与智能对话方向由 GoFin 覆盖；ASR / AI 搜索 / 语音助手无证据。,matchable,Strong,,resume_extracted:28|resume_extracted:resume:1:ai_experience:0,JD 列举多个可替代 AI 方向；候选人已有大模型与智能对话产品实践，直接覆盖明确允许的方向之一。未覆盖 ASR / AI 搜索 / 语音助手不应自动降为 Partial。,AI Partial → Human Strong（OR-list：满足其一即可）。,accept,,edited,4
25,xsolla:252b30e5-ce58-4a32-88b3-07ee83d06e67,Xsolla,AI-First Engineering Intern,北京,internship,mismatched_control,false,reqv2_4b8ad3ace4eea53c,"current undergraduate students, graduate students, and recent graduates of a Computer Science, Software Engineering, or related program",CS / SE (or related) current student or recent graduate,education,eligibility,Critical,degree,,,false,,Supported,manual_confirmed:profile:candidate_type|resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,Verified CS/SE bachelor and in-progress AI master; confirmed campus/new-grad identity.,eligibility,,Supported,manual_confirmed:profile:candidate_type|resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,Verified CS/SE bachelor and in-progress AI master; confirmed campus/new-grad identity.,,accept,,accepted,3
25,xsolla:252b30e5-ce58-4a32-88b3-07ee83d06e67,Xsolla,AI-First Engineering Intern,北京,internship,mismatched_control,false,reqv2_866eff0ae6a7bf23,"You build things because you want to, and that you already use AI to do it faster.",already uses AI tooling to build/ship faster,requirements,matchable,Important,,,,true,Partial,,resume_extracted:28|resume_extracted:resume:1:ai_experience:0,LLM application development and RAG work show building with AI; AI-assisted coding specifically is not evidenced.,matchable,Partial,,resume_extracted:28|resume_extracted:resume:1:ai_experience:0,LLM application development and RAG work show building with AI; AI-assisted coding specifically is not evidenced.,,accept,K4：保留可验证的“use AI to build faster”实践成分为 matchable/Partial；builder-culture / 态度语言为非评分 subjective。,accepted,3
25,xsolla:252b30e5-ce58-4a32-88b3-07ee83d06e67,Xsolla,AI-First Engineering Intern,北京,internship,mismatched_control,false,reqv2_c6d51578e66e9757,"You have side projects, hackathon entries, open-source contributions, or something you shipped just because you were curious.",side projects / self-shipped personal projects,requirements,matchable,Important,,,,true,Strong,,resume_extracted:29|resume_extracted:30,Two owned personal projects (NLP sentiment analysis; bank-fraud data analysis) are verified.,matchable,Strong,,resume_extracted:29|resume_extracted:30,Two owned personal projects (NLP sentiment analysis; bank-fraud data analysis) are verified.,,accept,,accepted,3
26,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,experienced,mismatched_control,true,reqv2_d9c11895b9f4fefd,"简体中文,英语",具备简体中文与英语工作能力,requirements,eligibility,Critical,language,,,false,,Unknown,resume_extracted:resume:1:skills:16,主简历确认英语精通；候选人材料与档案为中文，但证据目录没有独立的中文语言事实，保守判为待确认。,accepted AI taxonomy,,Supported,resume_extracted:resume:1:skills:16,英语工作能力由已验证简历语言事实支持；中文为候选人人工确认的母语，因此该语言门槛整体判为 Supported。,AI 建议 Unknown → 人工改为 Supported。,accept,中文母语属于本次人工 Ground Truth 确认事实；不因此新增 JobPilot 产品字段，也不修改 Candidate Profile；该 edge case 不升级为产品需求。未改动冻结候选人证据快照，未新增证据项。,edited,2
26,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,experienced,mismatched_control,true,reqv2_f1d30f6366ec29b4,本科及以上,本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与硕士教育记录直接满足。,accepted AI taxonomy,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与硕士教育记录直接满足。,,accept,,accepted,2
26,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,experienced,mismatched_control,true,reqv2_5e2cf4ee89770c19,1. 有 5 年以上工作经验；,五年以上工作经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证时长远不足五年。,accepted AI taxonomy,,PotentialGap,,候选人为 2027 届应届，已验证时长远不足五年。,,accept,,accepted,2
26,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,experienced,mismatched_control,true,reqv2_c88202cea56f40e4,2. 有较强的逻辑/概率思维能力，善于分析、归纳、描述、沟通、和解决问题；,逻辑/概率思维、分析归纳、沟通与问题解决能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:19|resume_extracted:30|resume_extracted:28,统计分析、机器学习、业务分析及跨团队沟通形成多项直接证据。,accepted AI taxonomy,Strong,,resume_extracted:19|resume_extracted:30|resume_extracted:28,统计分析、机器学习、业务分析及跨团队沟通形成多项直接证据。,,accept,,accepted,2
26,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,experienced,mismatched_control,true,reqv2_760a977b196001a0,3. 能独立承担系统设计、开发、调测等开发任务；,独立承担系统设计、开发与调测,requirements,matchable,Important,,,,true,Partial,,resume_extracted:28|resume_extracted:resume:1:technical_experience:8,有系统设计与 LLM 后端集成经历，但没有独立承担大型 AI Infra 开发调测的证据。,accepted AI taxonomy,Partial,,resume_extracted:28|resume_extracted:resume:1:technical_experience:8,有系统设计与 LLM 后端集成经历，但没有独立承担大型 AI Infra 开发调测的证据。,,accept,,accepted,2
26,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,experienced,mismatched_control,true,reqv2_a7e657643b65384a,4. 能快速接受和掌握新技术，有较强的独立、主动的学习能力。,快速掌握新技术的能力,requirements,matchable,Important,,,,true,Partial,,resume_extracted:21|resume_extracted:28|resume_extracted:29,跨 LLM、NLP 与产品技术的经历可间接支持，但学习速度与主动性没有直接量化事实。,accepted AI taxonomy,Partial,,resume_extracted:21|resume_extracted:28|resume_extracted:29,跨 LLM、NLP 与产品技术的经历可间接支持，但学习速度与主动性没有直接量化事实。,保留为 matchable/Partial；同句“独立、主动的学习能力”移出评分，作为 subjective expectation。,accept,保留‘快速掌握新技术的能力’为 matchable / Partial；同句中的‘独立、主动的学习能力’属于主观态度/学习意愿，不应进入 Match Score，应作为 subjective expectation 非评分处理。,edited,2
26,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,experienced,mismatched_control,true,reqv2_c2f1c7d80e0cbd8a,1. 熟练掌握 Python、C++等编程语言；,熟练使用 Python 与 C++,requirements,matchable,Important,,,,true,Strong,,resume_extracted:resume:1:skills:0|resume_extracted:resume:1:skills:1|resume_extracted:30,技能目录明确列出 Python、C/C++，且 Python 数据项目提供实践支持。,accepted AI taxonomy,Partial,,resume_extracted:resume:1:skills:0|resume_extracted:resume:1:skills:1|resume_extracted:30,Python 有明确项目实践；C/C++ 目前仅有技能声明，没有直接项目/开发证据，不足以充分证明两类语言均达到‘熟练掌握’，因此判为 Partial。,AI 建议 Strong → 人工改为 Partial；保留 Python 与 C/C++ 证据。,accept,,edited,2
26,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,experienced,mismatched_control,true,reqv2_e0081ebe3ba8d89c,2. 具备计算机系统、软件设计、AI模型或者集合通信等专业知识中的一种或多种；,具备计算机系统、软件设计或 AI 模型等专业知识,requirements,knowledge,Important,,计算机系统|软件设计|AI 模型|集合通信,要求具备计算机系统 / 软件设计 / AI 模型 / 集合通信等专业知识中的一种或多种；措辞为“专业知识”，属概念性掌握。,false,N/A,,,,accepted AI taxonomy,N/A,,,,,accept,,accepted,2
26,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,experienced,mismatched_control,true,reqv2_ff03d799ae69c39a,3. 了解大模型相关的概念和知识。,了解大模型相关概念与知识,requirements,knowledge,Important,,大模型概念,要求了解大模型相关概念与知识；明确为“概念和知识”，属理论理解。,false,N/A,,,,accepted AI taxonomy,N/A,,,,,accept,,accepted,2
26,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,experienced,mismatched_control,true,reqv2_8d3486b1ed5364ec,4. 了解大模型训练原理，强化学习原理,理解大模型训练原理与强化学习原理,requirements,knowledge,Important,,大模型训练原理|强化学习(RLHF)原理,要求理解大模型训练与强化学习的原理；典型理论理解要求（edge case B 类）。,false,N/A,,,,accepted AI taxonomy,N/A,,,,,accept,,accepted,2
26,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,experienced,mismatched_control,true,reqv2_1c9199d15075aa37,5. 有大模型精度调优经验，有基模训练经验或者RL训练经验,大模型精度调优、基模或强化学习训练经验,requirements,matchable,Important,,,,true,Partial,,resume_extracted:22|resume_extracted:resume:1:ai_experience:11,有一般模型训练支持与性能评估，但并非明确的大模型基模或 RL 训练经验（“经验”属实操，归 matchable）。,accepted AI taxonomy,Missing,,,冻结证据仅支持一般模型训练辅助与模型性能评估，不能直接证明大模型精度调优、基模训练或强化学习训练经验；技术相邻不足以判为 Partial。,AI 建议 Partial → 人工改为 Missing；human_evidence_ids 清空。,accept,,edited,2
26,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,experienced,mismatched_control,true,reqv2_07703f4446ef3b8b,6. 了解算子融合、量化、KV压缩、投机推理、PD分离等常用大模型推理技术,理解大模型推理优化技术（算子融合/量化/KV 压缩/投机推理/PD 分离）,requirements,knowledge,Important,,大模型推理优化|算子融合|量化|KV 压缩|投机推理|PD 分离,要求了解常用大模型推理优化技术；属于机制/技术原理理解（taxonomy 明确示例：inference optimization）。,false,N/A,,,,accepted AI taxonomy,N/A,,,,,accept,,accepted,2
26,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,experienced,mismatched_control,true,reqv2_80ee520d35aba9cc,7. 熟悉大模型推理框架(如vLLM、SGLang等)优先,熟悉 vLLM、SGLang 等大模型推理框架,preferred,matchable,Preferred,,,,true,Missing,,,当前证据目录没有相关推理框架使用经验（工具熟悉度属实操，归 matchable）。,accepted AI taxonomy,Missing,,,当前证据目录没有相关推理框架使用经验（工具熟悉度属实操，归 matchable）。,,accept,,accepted,2
